theta1_deg,theta2_deg,theta3_deg,r1_m,r2_m,phi1_deg,phi2_deg,rho,h_star_m,obj_star
-68.0933,-6.4941,66.5993,171.0479,90.6022,-46.2854,-30.3774,0.4001,150.0,0.37215882047147963
-63.9655,-21.7975,27.4775,36.2128,189.1551,8.7673,2.3224,0.5191,161.111,0.4805505598365857
-43.1267,-19.598,22.8597,154.6782,171.3864,5.4176,-38.268,0.6082,161.111,0.25375656713553674
-54.4907,-0.3713,49.8009,93.1873,137.2128,-84.7284,-25.7136,0.2032,116.667,0.24421653246480513
-50.204,30.1038,66.8627,169.2128,31.6113,-80.423,40.3983,0.2395,50.0,0.5323170812189464
-56.6424,-37.0946,24.3993,128.8158,42.5277,-16.8189,-66.1368,0.2657,94.444,0.33755836089768954
-64.8242,-27.1774,53.2368,125.1452,54.2834,-40.09,-73.4785,0.1534,94.444,0.238245679345754
-34.178,22.1017,40.4624,73.9394,161.9826,-13.3738,-7.5254,0.2078,127.778,0.1434036208948634
-69.792,-13.4298,59.228,54.6673,51.4288,26.1117,-41.2855,0.8979,50.0,0.5997581460902268
-32.0249,-1.789,69.3373,113.2452,129.2253,67.9531,-59.5628,0.7523,127.778,0.47638774634333597
18.1245,34.4074,58.1053,80.5963,127.8484,-81.3724,21.9945,0.2892,94.444,0.30160824498142447
-47.9852,-31.1166,9.1998,193.4801,186.4612,-69.6493,6.8187,0.1661,205.556,0.13671560868421756
-63.1956,-44.2619,10.0543,105.5084,161.2303,71.7478,-68.6831,0.1236,138.889,0.1841734252659835
-21.6663,-3.7731,67.3855,112.7074,114.2346,-64.3405,-65.2267,0.2498,116.667,0.205219220234096
-69.4463,-46.0673,48.8509,149.4877,116.3157,77.2972,26.5669,0.4189,138.889,0.405709526369314
-36.7399,-4.1214,34.2629,151.293,45.4815,30.4731,-26.1212,0.5486,116.667,0.33386643387881554
-57.6505,-40.7613,-3.5883,134.0015,149.3143,52.7369,11.2514,0.4748,150.0,0.30316231259576093
-43.8362,-9.8209,7.7024,87.4289,118.291,-16.5721,-39.2571,0.6352,105.556,0.2364175347777114
-28.269,34.5995,62.9772,36.862,189.4563,41.6356,-76.0119,0.1265,150.0,0.42891002415558654
-21.1401,-5.7815,28.1323,148.2949,104.2763,68.4297,37.6206,0.3735,138.889,0.2610307684203899
-25.9191,-9.8011,25.8856,135.6185,79.5188,70.1859,-61.7758,0.3836,116.667,0.39247402872321996
-52.3329,29.6117,61.6812,30.666,123.9393,-61.0698,6.5078,0.7825,105.556,0.5121980727634385
-54.2457,-24.7855,46.8847,40.0556,163.293,-37.2155,21.403,0.8733,161.111,0.4972808331793157
-56.3905,-12.5007,67.5355,178.898,43.9645,-63.7941,61.4726,0.202,138.889,0.41096946430825
-43.2947,-0.9689,63.8956,103.4813,146.8619,77.7453,48.2617,0.6804,127.778,0.47274155306847554
-46.5633,8.0912,52.1052,148.14,118.3483,-68.0906,18.6168,0.4535,138.889,0.3479332078911115
-22.3795,11.814,47.3414,66.2358,55.9145,4.7769,20.1097,0.1754,61.111,0.07885696004931497
-59.7702,-13.2709,58.6675,40.1765,152.1831,14.4194,61.7901,0.4927,127.778,0.44927144971039534
-58.2998,-34.8049,65.8148,150.6384,125.9966,73.1404,-81.0036,0.2499,138.889,0.27926154626743943
-51.8161,19.3431,46.8636,161.8888,55.9015,-11.8862,-3.2407,0.3551,127.778,0.33532166013265463
-19.9268,-2.2861,25.7957,97.5402,193.2049,7.6367,-0.9732,0.8832,138.889,0.31493703891832875
-68.8452,-31.7455,43.0499,38.6031,134.628,28.2272,-1.1082,0.7138,116.667,0.552526185739854
-67.0459,-15.4839,0.1382,140.9655,118.601,-6.6527,47.1338,0.643,127.778,0.36043241604345144
-53.153,-27.5581,69.4013,159.4393,75.6779,-73.6354,-36.1119,0.8077,116.667,0.5850996865100714
-25.2429,26.7004,68.6477,73.4928,161.5295,81.5424,50.1044,0.4307,138.889,0.4545317484545208
-50.9926,-34.3253,56.4281,43.7969,134.1839,-63.7264,23.2482,0.6344,116.667,0.5170081010502765
-7.0026,14.7074,56.0317,160.4668,48.4601,6.427,-14.5374,0.6394,138.889,0.386611948356834
-49.034,40.8538,63.8895,187.9013,180.6318,34.7198,51.924,0.5302,194.444,0.3394280445137072
-17.7871,24.7367,68.6421,96.8783,196.5306,-71.7763,-59.5966,0.6779,172.222,0.5376630943877047
-38.8306,-11.3016,56.784,187.1075,149.0335,-41.8899,-46.1513,0.4462,150.0,0.21669884873455025
-35.8607,19.3366,65.2884,70.9063,177.9695,-82.4439,-47.7869,0.4148,150.0,0.48442109713309894
-57.6051,14.8356,34.8375,66.089,54.7773,-19.5305,-29.523,0.143,61.111,0.08739324566506917
-40.6241,-13.1202,17.0625,93.3231,129.6769,-73.8718,-5.3014,0.5477,116.667,0.3255168612645218
-28.4584,11.5978,27.142,174.444,163.4225,-29.0653,36.9034,0.4731,161.111,0.189845506305417
-52.6897,-27.6241,26.7653,170.607,74.6364,-15.7089,-30.6732,0.1448,138.889,0.10930792906147421
-48.3167,3.798,54.1439,155.5417,173.2294,-41.9934,-36.1555,0.1603,183.333,0.09287161186641904
-63.9813,13.1343,53.3234,170.1982,58.9902,32.1796,-22.4316,0.5694,138.889,0.4700716440346419
7.3061,41.1901,66.1613,158.4583,146.9407,-69.3983,5.8754,0.7602,172.222,0.5158819128926239
-42.6547,-16.1863,25.0549,167.373,180.4499,22.9513,-31.545,0.2149,194.444,0.10296928920951678
-57.7864,-28.9748,67.389,197.3786,145.1307,63.9236,-34.5868,0.8698,183.333,0.5399378604984718
-56.2007,-34.8932,49.8134,52.8113,120.8654,76.9334,-44.091,0.6203,105.556,0.5411422343589649
-45.6238,-26.0945,40.3022,194.1346,82.9023,3.2644,1.5772,0.2192,150.0,0.15299765370762808
-16.7112,-1.2198,34.2885,166.3536,62.4743,-32.3047,24.2442,0.5377,138.889,0.3741148207220401
-55.981,-23.0963,3.0345,118.3996,180.3717,45.4252,56.6635,0.33,161.111,0.2323405314387074
-66.9347,12.1558,50.8952,131.4834,165.3123,-78.3199,66.903,0.5342,150.0,0.47051088520602474
-11.3876,32.6102,49.7487,107.404,177.7868,-84.5953,38.5818,0.7653,150.0,0.4409797700602246
-25.0544,47.6475,68.055,102.3134,50.5658,-4.7417,84.467,0.5957,83.333,0.5067168009462428
-30.2606,-14.3266,38.2236,164.5045,183.7958,-69.8279,-2.5756,0.5921,183.333,0.3657950187044415
-9.7906,30.5786,53.2965,43.6981,78.3435,-56.4757,30.9037,0.4234,55.556,0.24508205654070003
-41.1016,-9.2708,52.3608,181.502,43.2869,2.1707,-52.253,0.4351,161.111,0.4697607993058771
-38.592,0.9423,42.6391,182.2613,116.6829,33.0146,-4.9976,0.5225,172.222,0.2316747071545311
-46.6319,-24.9738,47.1656,81.089,69.106,28.4781,25.6837,0.7884,72.222,0.4009417211883964
-47.7611,-26.8506,52.3071,42.3327,91.3996,14.8264,41.1523,0.3426,72.222,0.2679960868335682
-69.8128,-45.3768,-12.4969,165.0511,115.4661,-27.4385,34.8153,0.533,150.0,0.404624897778919
-58.5409,-25.9837,3.7208,197.7133,126.915,-26.8908,8.737,0.6496,150.0,0.28216103827672945
-17.8796,13.9257,63.2357,161.3045,159.17,-42.7673,77.7893,0.124,161.111,0.11509355738729346
-68.2718,-16.9756,1.7679,187.5112,171.1828,37.58,69.2604,0.3272,183.333,0.2847491877371689
7.4804,32.9421,63.2695,103.0784,91.2959,37.862,79.5443,0.7106,94.444,0.3915209959894902
-51.796,-34.808,-9.7839,96.1345,183.0632,-14.5941,-14.2323,0.1256,138.889,0.05847989316724383
-48.4719,-31.7213,43.5357,56.7816,111.0661,-18.9671,51.5328,0.1629,94.444,0.1389016812447145
-61.8167,-0.0771,46.6992,100.3395,135.0742,-30.2222,-70.0919,0.7101,127.778,0.4286738962572059
-55.9692,-0.7957,68.5478,99.2386,119.8163,-39.0831,51.5715,0.2376,116.667,0.19216519462331857
-61.9084,-40.7138,66.5157,114.7068,46.8691,19.9333,12.3612,0.6124,94.444,0.5166009329558363
-53.3673,16.4192,38.1941,191.2496,161.0528,-63.7162,-17.4922,0.3013,183.333,0.18497424437645635
-54.01,-23.6282,14.2277,134.2807,92.1921,45.0244,55.7865,0.2451,116.667,0.17365379391267197
-58.5494,-17.6273,11.2236,34.6354,108.1551,49.0511,24.9967,0.3207,83.333,0.3339691553801824
-48.5089,12.1424,61.0898,115.7875,85.1281,37.636,-20.3075,0.3892,105.556,0.2568677530480283
-35.2999,-1.6614,18.8205,39.7726,159.1868,34.8152,12.5525,0.6904,150.0,0.3570423956065758
-47.1061,10.1853,26.6088,178.5094,73.4032,-34.701,-39.1566,0.2091,138.889,0.15060241272197292
-48.0488,10.6553,40.5541,156.7923,141.4007,72.7328,-41.7956,0.723,161.111,0.3741866737983707
-63.5976,-26.3169,58.112,199.0208,195.3569,-79.465,-7.1998,0.1889,205.556,0.1995096122423439
-43.3368,36.0712,55.5983,124.1029,57.932,-2.7093,-80.5549,0.6718,105.556,0.5301338426439743
-38.9439,1.5467,61.9285,134.9603,104.5783,55.3104,33.02,0.5088,127.778,0.291135612205762
-64.7791,-14.3958,48.2053,109.4189,169.5851,49.1449,-25.2012,0.4332,161.111,0.26781117529623566
-23.8324,18.9174,58.3216,86.4444,40.6077,-45.0454,-14.1738,0.8783,72.222,0.4554304956536581
-58.9126,31.0728,57.0904,169.5702,189.9206,70.8826,-11.6657,0.373,183.333,0.28761509772923105
-40.7905,-1.521,60.3072,178.474,165.0258,74.2573,75.6649,0.3833,183.333,0.2889933789028572
-39.7242,-6.6189,18.9002,163.279,33.7593,-10.3256,77.5969,0.7576,138.889,0.3737416273101962
-49.5856,-12.3771,63.0429,111.3718,154.853,64.2447,-8.6936,0.6305,127.778,0.3399911459948692
-47.0226,1.6453,50.8786,137.15,157.254,-27.1405,-75.3446,0.4243,150.0,0.36567137798199834
-63.6311,-22.0641,55.4472,74.2851,48.2572,-17.8655,-24.6631,0.4685,61.111,0.26721474576947485
-50.6684,5.4542,36.0385,87.0697,106.9204,-77.0012,42.7733,0.5907,94.444,0.38261887982740905
-23.3018,12.6073,30.4527,70.5768,195.9643,-42.2754,-57.1094,0.6735,183.333,0.4084810699747604
-30.9288,0.4113,57.7983,118.704,141.7239,45.8378,34.3461,0.1643,138.889,0.10870299752189223
-64.268,-31.358,45.0316,99.9045,166.6924,66.5903,-3.2603,0.4821,138.889,0.4359149980412129
-19.1821,9.1866,66.2497,126.2808,87.3255,15.2986,-28.5705,0.3504,105.556,0.20006324961984615
-68.2964,-11.5073,50.3701,149.1179,141.967,-84.2683,-40.8378,0.1803,150.0,0.18362240017734693
-50.9739,-3.1367,42.0021,95.6979,38.1955,76.7344,53.4676,0.8808,50.0,0.4569391105533113
-68.7878,-34.555,7.6186,102.9452,191.2967,1.4641,8.9863,0.1941,150.0,0.10428667025450786
-44.8168,8.3304,31.3898,135.3908,61.0769,6.8733,-55.5255,0.3363,94.444,0.19336088239362595
-62.8723,-22.7427,1.4669,106.2551,32.3561,47.2766,-71.0331,0.2261,83.333,0.30672358931266924
-6.369,36.5416,60.1223,99.7516,111.4978,75.1375,61.8078,0.6244,105.556,0.3675565756567937
-49.304,-33.5392,32.3435,92.6441,147.9492,-73.2486,1.3383,0.6206,127.778,0.4627931993883008
-22.5498,23.3948,51.5702,198.8324,114.9095,31.3754,-72.0226,0.3707,161.111,0.306907444638115
-33.6619,-11.5582,19.7526,159.6034,63.4548,-21.2454,-18.7354,0.6838,127.778,0.30933365347959707
-54.1269,44.6989,62.9733,127.9735,169.5996,-12.3696,-82.4018,0.2071,172.222,0.2424346520621708
-59.8678,51.5166,67.4518,91.5984,126.8397,-76.3983,-70.0955,0.19,105.556,0.20864000053901618
-66.1009,-48.6817,44.4272,115.0227,66.2495,51.6246,-40.0715,0.3009,94.444,0.22650911037857896
4.1281,32.2461,54.7709,63.2096,103.6409,-31.4477,20.372,0.7174,94.444,0.4172804706604668
-16.282,15.1736,31.6859,125.0758,141.9274,-75.7999,-2.6976,0.6215,138.889,0.37301369297917636
-64.5031,-13.8334,59.5186,85.3469,175.4611,32.1481,32.3876,0.2787,138.889,0.20698310295495384
-61.4754,9.6492,44.0836,173.1381,39.5367,-20.4088,-20.6373,0.1316,116.667,0.2116470033213864
-59.9895,-37.4147,-15.2208,118.242,194.7163,82.4228,-67.2499,0.5371,172.222,0.43572204666694864
-28.1209,22.2059,61.2786,52.5251,107.4378,83.6865,52.3915,0.4185,83.333,0.4122823803458051
-51.0753,-31.6444,16.7469,157.3794,116.8355,80.0142,26.654,0.3293,150.0,0.31369029224809253
-31.5178,22.6459,42.469,149.3596,128.4408,-38.2083,53.9655,0.6442,138.889,0.2953768094813322
-50.8495,-14.4353,57.3956,85.3073,32.0844,-15.4011,47.9078,0.3108,61.111,0.20251437233469455
-69.3713,-34.9846,-12.476,147.2287,184.3791,35.9408,-37.9406,0.5845,161.111,0.32984870046451553
9.8994,43.6259,58.7503,105.1216,154.8673,12.5319,4.8638,0.1416,150.0,0.07164216327048802
-47.5715,-3.0697,24.6196,123.3823,106.5872,-40.1947,26.9358,0.3687,138.889,0.14005775942027052
-29.9989,-12.3912,49.8534,65.7166,148.0086,13.0026,13.3095,0.3457,116.667,0.22384567904000505
-2.1811,16.2628,37.4506,83.0004,130.1518,36.4561,58.1157,0.3258,127.778,0.17998563115542107
-42.7365,-0.2777,58.5137,42.8678,51.3956,37.3841,-59.1768,0.3913,50.0,0.2868487438039941
-50.4648,14.3465,57.2273,121.6705,119.5149,-49.8587,18.3275,0.1564,138.889,0.07942508578518435
-23.6161,19.2033,35.1783,134.1836,59.3984,-8.8831,9.8758,0.2637,105.556,0.20266173546395988
-24.6768,-5.3071,68.6171,101.3656,37.0991,-41.7027,6.6367,0.4654,83.333,0.4105250298971554
-61.426,0.1535,21.5624,44.7232,81.9097,1.8143,-29.3768,0.3163,72.222,0.16034945697120442
-37.2169,-5.208,64.5988,149.4255,180.1834,36.6262,67.5084,0.2096,172.222,0.14707247450066924
-55.0121,-36.3874,68.4149,79.6271,183.8292,-60.0332,51.8331,0.6275,150.0,0.527006750917118
-42.1545,11.3372,36.3577,118.0477,139.8317,-5.0851,-64.1346,0.1444,138.889,0.11706398007036924
-65.7651,-42.7213,25.2005,171.4326,171.4623,-26.6338,-32.2399,0.8518,172.222,0.5244979067261568
-14.4113,43.5664,66.6374,149.1722,136.6818,43.6505,42.1195,0.8609,150.0,0.48988168476379224
-20.8642,10.1866,32.1075,170.79,140.1921,14.7663,-58.4074,0.354,150.0,0.1666188973242495
-54.4098,17.0237,45.1089,94.2273,103.5601,-32.1195,-52.402,0.644,94.444,0.3408870520094987
-48.1736,50.2229,65.2477,157.7308,197.9548,83.8831,70.9133,0.194,172.222,0.20336945226959063
-31.4994,14.5625,62.1591,96.3707,195.968,56.6012,51.4616,0.6007,172.222,0.33141593303765005
-57.9121,-33.9605,43.2052,142.7161,188.6553,-26.0963,-45.2495,0.7103,183.333,0.414210804372374
-61.025,-36.895,53.121,47.2742,34.7101,12.245,22.0297,0.3191,50.0,0.21497038644846392
-61.7675,0.5349,16.4984,113.6494,33.7797,45.7487,-66.242,0.5301,94.444,0.4216106511424246
-42.1417,-17.7661,65.2013,173.9349,133.454,56.391,-7.5747,0.2983,161.111,0.19797179069009965
-39.2719,-3.6832,55.0673,77.4303,142.7245,-22.6441,63.6631,0.4772,116.667,0.32712220187110674
-57.1009,0.3214,39.5372,187.8148,88.4503,-10.4873,-72.9776,0.6487,161.111,0.45153907272279376
-59.5643,14.2568,44.883,99.1113,92.5136,9.5428,58.6524,0.1735,94.444,0.11342522631419147
-38.5862,-7.5886,10.0171,181.2505,179.0518,12.7357,48.5301,0.3061,183.333,0.1426788069178851
-14.6138,10.2776,38.6884,101.3143,163.4202,-72.318,-59.4368,0.592,138.889,0.3680228611160971
-69.4653,-26.1439,69.2764,33.2088,99.9123,-71.39,-29.089,0.6703,72.222,0.5848026027712185
-22.5098,16.5525,34.3634,35.8865,182.8395,-73.4994,36.112,0.3394,138.889,0.42470042287201165
-65.3333,-49.0584,30.5712,43.4406,160.8526,73.1883,20.1767,0.2781,127.778,0.4875963051840548
-17.3613,3.1243,37.9174,93.2545,97.0197,5.6499,-54.6248,0.5998,105.556,0.2532755137522962
-56.6263,16.2834,40.1257,132.7734,172.8509,83.8175,49.9141,0.6274,161.111,0.43568805206856975
28.1641,43.485,64.3033,85.4728,123.6867,83.5853,53.7253,0.3188,105.556,0.3224738503436434
-60.8447,46.6449,63.3614,154.131,79.9779,53.0587,-7.4004,0.5821,127.778,0.44406108807146927
-11.8671,18.9458,51.0529,157.7129,132.5996,-53.4435,-29.7689,0.1872,150.0,0.12308009228333534
-68.2216,-5.3048,10.4825,151.7133,190.1524,79.7678,47.997,0.7175,183.333,0.4731497823174761
-27.9065,19.7717,53.4202,88.2311,31.7578,-67.2088,-46.1965,0.8672,72.222,0.479880749368444
-39.3509,29.8415,65.4115,52.4196,37.6723,-29.5887,24.0906,0.274,50.0,0.16681855037202656
-48.5119,-13.746,31.8834,42.254,176.0751,-4.8227,1.7194,0.8077,50.0,0.4531954317435781
-42.6984,24.4905,43.9738,71.3242,144.3738,-32.8559,-48.648,0.2434,116.667,0.1709177390937962
-28.3729,5.2401,25.2527,139.8359,69.3138,52.4135,-67.3391,0.7276,127.778,0.36402397851632873
-33.8229,-11.2823,30.7637,115.3292,158.5497,-77.4382,72.9764,0.6787,138.889,0.41104890234454494
-35.3842,-17.1641,11.1922,141.8348,91.1024,82.9554,40.1295,0.5256,127.778,0.386820935318682
-25.9321,-7.6558,45.3744,164.9549,121.292,10.497,14.4454,0.6703,150.0,0.2941588508994265
-3.234,23.3117,64.6531,65.4999,174.069,-30.6637,-0.8645,0.8283,127.778,0.45799703974205375
-10.7739,38.3438,59.8322,116.486,126.3952,-79.6084,-30.4135,0.7506,127.778,0.4929578969019384
-49.792,-7.6327,37.1541,43.6297,126.5835,-63.8699,62.45,0.396,105.556,0.46482034808777606
-37.1978,-1.3554,16.6244,199.7403,120.522,47.4245,42.927,0.2739,172.222,0.15285251002036923
-26.3876,2.3451,45.2962,104.5256,147.6392,-68.4413,75.8709,0.4327,127.778,0.4000588613231739
-19.3134,13.0923,60.8631,197.7441,173.2001,-32.3415,83.3009,0.8066,194.444,0.4456360523412234
-32.0067,-3.718,17.5024,141.6606,199.1809,61.0299,58.0465,0.4656,183.333,0.23877301992338024
3.795,21.5475,38.4205,55.4751,44.168,15.1569,-74.8105,0.4651,50.0,0.3057311944892997
-35.9679,-4.8368,27.4607,199.8369,66.4718,18.2068,-25.6679,0.4402,161.111,0.3387272411940192
-49.6487,10.4284,34.5665,149.7508,87.1205,31.4668,59.4419,0.4294,116.667,0.24954715596380211
-60.0337,-28.3396,3.03,195.3474,95.2271,-43.675,-11.0508,0.3694,172.222,0.3179226127972109
-19.8143,0.2543,28.6237,166.8896,104.8146,10.8666,-45.9926,0.5232,150.0,0.2749378519659858
-62.5925,-22.2911,30.5939,178.4979,93.5168,54.655,45.4359,0.6894,150.0,0.44869961078517717
-48.5213,-6.6643,62.2348,132.5279,169.7299,3.9527,-12.6415,0.8817,150.0,0.4792140596716304
-9.6647,26.77,65.8388,132.3176,187.2212,-7.2016,16.1128,0.5251,194.444,0.28571959979317085
-24.2112,-3.9769,41.6856,69.6878,87.8915,21.8001,53.0323,0.7647,83.333,0.33125428392550477
-30.5141,-3.039,13.8955,84.182,179.7533,-65.0004,-69.9513,0.3971,150.0,0.32398947396236083
-67.72,-32.5649,58.1291,148.5533,176.0788,48.0925,48.5277,0.2074,161.111,0.14048165170743634
-66.8134,25.0719,51.4906,189.6013,127.0126,-30.6154,-8.6011,0.2637,172.222,0.1833477171734356
-60.186,-36.0111,1.0428,189.9613,161.1425,57.3585,-63.0069,0.889,183.333,0.44818826530009825
-51.0082,-2.5094,29.9855,157.131,134.8405,6.8195,61.4646,0.1673,150.0,0.11097534325353446
-22.3375,39.4926,55.0779,114.3593,38.5227,51.5108,-31.0492,0.3759,83.333,0.3007373243154275
-68.3012,-8.0425,47.7156,59.3624,164.791,-78.2599,51.0584,0.4817,127.778,0.4327055286568528
-55.2677,-11.2971,40.774,163.976,140.2399,-24.6629,56.0202,0.8115,161.111,0.43579071945328224
-62.563,-44.6971,5.8693,153.7904,162.4935,-15.6901,-4.2728,0.1594,161.111,0.1063259874606358
-12.551,52.3206,68.9001,89.7076,46.5028,-13.6544,-45.2806,0.8539,61.111,0.523151666630152
-61.299,-16.3852,39.1192,71.8646,109.7433,71.4711,29.3474,0.8817,105.556,0.5061439702630732
-49.0105,-33.6182,60.1285,31.665,146.4848,-20.1677,-30.2068,0.1896,105.556,0.3007314822475484
-63.2909,-29.585,-7.2743,166.3904,61.5877,69.3749,-6.578,0.7025,138.889,0.4458254681170976
-65.2369,16.7222,68.4092,195.7082,122.4518,82.1515,51.2065,0.2155,183.333,0.2729069892236256
-68.3328,41.2173,56.3398,140.7961,141.8122,-53.1482,70.0033,0.1808,150.0,0.1840471305983517
-29.8208,-8.1376,42.6296,108.698,144.6332,-41.3754,-45.2861,0.5944,138.889,0.29485954756980554
-19.3201,14.5597,40.8858,102.1849,91.569,-84.6073,35.6608,0.581,105.556,0.30475351947501417
-28.7605,2.0587,67.3159,75.7049,175.2156,29.263,-28.9353,0.7648,127.778,0.43678207908976074
-49.0469,30.5495,66.0493,153.6193,180.1224,1.4112,83.512,0.866,172.222,0.5473540503973822
-65.8252,8.04,66.8847,47.1921,101.5934,64.7893,23.9426,0.7617,83.333,0.5978871570327556
-64.0481,-24.2988,31.162,187.8734,82.7865,-12.0461,-34.1118,0.6006,161.111,0.42158560498475356
-66.7614,-49.0424,15.6759,40.8353,162.7335,60.7181,-69.676,0.3937,150.0,0.5328141050445778
-52.5882,-2.291,54.8215,145.3176,86.2425,-77.6836,8.6587,0.7128,116.667,0.5038434274306581
-57.6571,37.0779,60.6759,146.2486,98.8416,77.7248,52.432,0.7422,127.778,0.5338702729300696
-68.7752,-44.7712,1.3017,82.8502,130.098,33.8567,-13.3094,0.2785,116.667,0.21906331776055146
-5.3179,31.3956,69.1435,75.2844,166.4641,28.4717,69.2567,0.5744,150.0,0.35655111829877184
-66.84,35.4394,63.1129,194.8246,163.2392,-27.8356,0.3249,0.315,194.444,0.2385366027436782
-66.1499,-45.0546,-15.501,37.3131,173.0803,-11.7777,60.791,0.856,50.0,0.5719061093064948
-52.9739,-32.0146,13.9315,162.3838,135.7291,70.8159,62.3901,0.8355,150.0,0.4464605262029286
-32.8028,35.6803,55.0348,146.781,74.6302,-47.8227,-77.6622,0.1929,116.667,0.32243896001072536
-63.4222,-48.0394,14.5974,136.6305,121.0107,-27.6569,-37.0487,0.7212,127.778,0.43470184610157414
-67.0455,11.8391,64.7543,90.4475,168.4525,-79.5744,20.6457,0.4339,138.889,0.4477350372185245
-62.7239,-46.2574,53.2742,121.2279,30.4977,-59.7049,70.8961,0.3993,94.444,0.5113659831793154
-20.1331,46.8606,68.6009,102.5159,59.0522,-71.9238,16.2331,0.2782,94.444,0.2938651531790752
-44.9366,24.5063,42.2829,144.0738,105.4495,71.2727,-62.9049,0.1466,138.889,0.21520102824686288
-65.9493,-29.1969,44.9576,85.2891,191.4657,-57.998,19.3896,0.4568,150.0,0.35573483052976357
-44.9007,35.751,62.2468,148.7699,43.597,33.1118,-59.8912,0.8337,116.667,0.5409434602022676
-41.6671,-3.7014,43.1921,195.9514,108.1361,69.3394,33.0892,0.7863,150.0,0.43435969535849744
-65.514,-43.9764,-28.5645,48.6134,126.4135,-53.6553,-56.37,0.4846,94.444,0.38556467434166836
-50.1909,2.6554,43.8029,164.8469,128.101,2.9965,-47.8663,0.8146,127.778,0.34840567863056426
-35.3239,21.9672,58.1169,190.9801,195.0788,25.1574,-43.55,0.1786,205.556,0.09317897586529356
14.271,46.9696,64.771,167.3954,173.52,-53.0274,-37.4843,0.7202,172.222,0.48004515790408436
-64.9881,31.8693,48.9715,100.6859,104.8912,38.6298,-70.586,0.2696,105.556,0.18259864791356417
-36.3541,-7.0311,69.4099,91.3997,52.9755,19.2839,-67.2584,0.6043,72.222,0.4852539147271374
-59.2227,23.0568,61.5407,106.4415,108.5566,82.1805,16.7758,0.1458,105.556,0.1617376834499035
-66.0991,-41.9302,-14.4267,89.8484,155.5439,-45.6509,37.2052,0.7842,138.889,0.4813963924379005
-56.7263,21.1393,37.5059,111.9103,162.8659,-14.3532,-83.2533,0.3433,150.0,0.3293088894063557
-29.4565,37.3028,66.0766,196.2529,51.6661,82.0689,-13.0491,0.6103,50.0,0.5438352706725041
14.3504,39.3591,66.4945,143.3719,195.5995,74.9025,57.848,0.7249,183.333,0.43776638228326165
-22.3298,12.2347,50.0819,142.7376,142.4794,-46.4032,-62.2369,0.2096,150.0,0.1557710521663486
-50.6915,-29.5345,61.1841,146.354,172.3777,-29.0564,-65.3409,0.8146,194.444,0.488129378392002
-39.0812,19.7775,54.5332,48.3337,182.6845,-55.4106,-22.8343,0.2201,138.889,0.3990911701193433
-69.0672,0.3635,45.483,101.3583,171.0225,77.1253,-23.1555,0.497,138.889,0.4504723902051704
-40.1395,-13.0561,63.6987,58.6519,31.819,36.2992,-40.287,0.7188,55.556,0.39934403102379984
-13.0811,3.5327,40.4098,158.8392,71.4911,3.6765,30.8751,0.6402,116.667,0.27272838414758666
-66.7728,7.663,26.5456,65.9542,52.102,-40.1735,63.211,0.7861,61.111,0.4941770125797559
-44.0885,-24.153,42.0079,117.6455,194.2229,-69.9356,35.3771,0.804,183.333,0.43706926031737414
-67.9838,28.9756,46.7743,138.9878,110.4967,-62.295,20.6436,0.3122,138.889,0.20893260855311138
-54.2926,-21.5198,44.0917,93.6791,56.4436,68.1854,-11.3807,0.35,83.333,0.3095321208137241
10.6159,32.939,66.7026,48.9368,174.0868,-17.9763,44.9703,0.3495,138.889,0.4442498384221634
-60.6092,-17.8583,31.6554,125.5675,103.1894,12.4185,8.6971,0.3858,116.667,0.20298533709863864
-19.224,15.0273,34.2746,184.4607,116.0356,-47.2396,-35.1005,0.4867,161.111,0.29470860414275435
-55.0118,-28.4326,32.6771,30.9263,106.9472,72.2331,41.2497,0.2582,83.333,0.3801387964841414
-46.056,-7.2676,23.743,188.816,84.9187,52.8461,62.3214,0.1084,138.889,0.12549472755630733
-24.629,-4.3941,47.0898,73.5332,149.3101,-77.5204,-57.1601,0.8836,138.889,0.39122175920375934
-65.885,7.6753,68.6131,107.0878,114.9847,-80.9543,-35.3948,0.2522,116.667,0.256850150088801
-31.8446,-5.6507,23.5731,186.9872,118.1877,42.8248,21.8311,0.5857,183.333,0.2402055970385874
-17.2442,15.2663,68.0431,170.4858,57.1892,51.7863,20.2134,0.8675,138.889,0.4870522161058671
-18.3402,12.565,54.2995,54.6185,31.1612,-0.7751,37.4456,0.8167,50.0,0.393681041709072
-52.7975,13.9721,37.8792,122.8663,81.1751,-5.4606,-33.0275,0.294,105.556,0.19025271890943807
-8.2889,30.6204,69.8813,152.0987,194.5046,67.5025,63.2719,0.5588,183.333,0.3249513119504494
-50.2583,30.6947,49.1127,86.8537,61.9197,-26.7373,-50.4907,0.5236,83.333,0.3059923528856094
-66.567,-39.7172,26.7203,70.8272,160.1104,68.5223,-19.778,0.1561,116.667,0.2437432867638775
-30.1761,-7.4314,16.5251,40.6036,65.8684,14.375,-2.0502,0.2885,61.111,0.08224190174116987
-22.8145,38.8257,55.6223,161.6843,139.4331,-23.0881,45.8899,0.418,127.778,0.21283058240296562
-56.7667,-11.5662,11.2168,74.8291,188.5296,-35.1714,50.9547,0.1462,150.0,0.1760668092863822
-52.5044,-19.8977,54.1197,166.9121,90.2239,59.3403,-27.3753,0.448,138.889,0.27346812629151407
